grocery,food,other
619,1389,1178
2941,1320,1075
212,1186,1953
1137,652,1440
1918,322,2050
784,69,62
1428,1348,2390
1271,1093,2926
2639,1281,1909
2188,542,1000
2466,1137,2865
1240,1304,848
2317,1337,2335
2412,4,1249
1382,1398,1298
93,195,1603
2066,1270,3417
49,1189,3108
1356,529,683
357,85,661
1025,1004,523
2188,616,948
871,738,1841
2747,1228,2790
2464,470,464
2191,1025,2113
2277,183,3008
2247,1258,2976
2389,194,2893
1975,1337,2100
1535,309,3368
1731,678,2612
781,839,3245
30,917,1416
1158,824,2447
423,166,2979
909,1232,2541
2927,89,676
1410,583,2040
2391,1467,2685
1120,339,1836
951,1452,1632
1738,783,2685
1145,930,116
1046,1327,1901
2747,485,948
1192,379,2612
2245,392,1376
1583,1440,2145
2921,1103,3195
2815,148,2678
150,1464,1290
2648,123,505
2346,175,2229
1234,155,2348
2824,534,2772
2682,425,2612
2462,552,1098
2068,1306,1706
911,272,2078
2547,1450,1108
1634,126,2998
354,1200,2494
761,449,2680
1163,862,337
568,131,786
578,1453,1445
1056,1218,2676
2288,921,547
1143,4,509
2842,1371,3474
2212,60,1473
2718,1347,2533
2810,943,1851
2333,1363,660
501,523,3266
961,1305,1557
1406,1219,3185
49,641,2885
2068,1103,2201
1900,396,3483
1411,472,1555
2800,1290,439
391,965,2673
2376,345,447
2686,658,3084
2132,845,706
1300,171,1964
642,978,3354
2743,961,2060
2394,721,1180
750,1386,448
1717,1448,1133
1989,856,1177
1899,177,3326
1416,1150,1240
55,776,502
2504,1325,625
320,226,1613
2718,766,1299
2722,399,1133
1102,538,2258
1116,1427,3227
2923,387,252
2470,44,1967
1352,638,800
1622,19,2882
2571,1087,418
675,569,109
97,1096,829
2370,866,2572
2069,1321,1111
1338,169,1926
1499,294,2454
2209,664,1421
2638,159,2915
320,1196,3438
2258,1491,2531
1807,427,2664
2035,87,699
1435,77,1993
1267,812,2014
1421,757,1343
538,697,3074
828,119,2193
1902,927,608
1074,694,2964
1445,1069,67
1204,1406,3031
682,684,2273
1217,1023,3174
1366,13,3459
1712,458,1157
329,1437,2805
55,1102,3199
360,1216,2004
160,441,103
525,269,73
1035,1240,1200
2320,552,776
1708,1272,2548
1172,421,1559
854,942,2037
952,321,2375
995,1206,65
1901,1147,1425
1181,1304,3303
2956,1266,1966
2863,84,3089
1647,1145,1328
419,1240,838
2521,3,1226
536,852,46
1563,1394,3488
1390,65,3305
95,739,3181
545,757,1767
178,1103,907
141,1275,491
2955,428,1758
2365,1030,281
1982,895,2096
1529,1270,3368
123,1035,784
2406,942,506
2221,120,902
2199,553,2144
1744,1061,1853
196,1493,256
1498,1112,2073
2524,1298,2690
1556,392,1139
2555,920,896
1923,889,1010
372,406,105
705,283,2595
47,1070,43
2395,1145,3292
2690,1022,2155
786,167,3281
1722,896,891
661,478,459
696,1424,3345
907,1237,230
1288,983,2328
2992,243,72
1394,113,541
1299,540,260
497,1137,2908
1152,394,542
404,510,2635
2505,795,167
1790,485,59
1942,964,3296
2775,768,1590
1896,139,1587
525,653,1545
918,97,2469
1182,172,2320
152,246,1709
885,497,589
1413,386,2652
2663,1249,2233
1521,1116,2583
1520,1260,3280
800,1367,1616
2980,411,2591
1271,860,3138
551,967,3353
1366,127,2198
2815,1232,2758
2315,854,254
724,1232,177
241,126,343
1437,224,1288
866,332,324
797,842,3106
997,1165,1821
27,904,143
444,234,3491
1606,606,1157
768,261,1946
1056,592,1469
610,719,2939
1328,1035,2960
546,478,2407
1895,612,1919
1146,1239,3006
2963,857,2037
1282,920,1698
985,795,760
405,1095,2180
3,387,2792
206,1257,2340
1781,128,3369
284,508,432
1399,179,2285
2860,1072,1132
2466,994,3147
1708,177,2887
38,309,2130
1694,781,1812
2811,890,3005
2899,62,3030
2798,1396,2450
1205,1269,2321
1118,10,3231
1222,1092,1679
2053,473,430
2321,533,527
1548,1011,2291
1462,779,3048
2032,1239,2633
