grocery,food,other
1654,500,2566
1137,1192,3423
279,1141,2006
717,70,160
1893,704,865
1499,503,2190
1446,1344,3359
1226,343,1984
954,1188,2226
333,1190,2979
1738,136,2501
2447,429,3157
2291,404,1932
2926,1403,2682
785,890,678
1744,2,3500
781,928,3408
197,308,3183
1444,1010,860
643,269,192
2250,1177,789
395,900,265
1580,283,834
285,815,1781
1729,656,2438
2347,35,341
2833,1223,2417
2403,742,1882
2780,1324,153
1566,740,926
429,946,2952
460,1106,3050
2248,1350,1746
1860,1450,1341
1628,3,630
1020,294,268
2011,952,786
2839,1198,3266
1324,1176,1091
1150,323,2379
952,881,2415
163,1205,2077
1992,580,2322
102,372,1465
2849,1296,966
2003,1466,3256
720,1090,884
2054,1155,2893
2955,326,197
2449,1103,786
549,1122,809
1089,995,2756
2928,535,3211
181,1439,2606
1000,117,2606
352,622,2879
1396,683,554
1828,1067,3167
1392,946,956
1463,1249,287
420,486,1973
2188,1358,1200
1150,332,1689
585,416,3046
353,1435,3410
792,1404,2406
888,1328,2230
778,991,217
2969,386,2162
1328,999,727
2873,676,1765
2162,108,706
575,855,1970
1824,1082,1666
2100,1054,2651
1979,24,1943
1365,186,531
742,764,1614
2205,1408,3095
1847,1145,294
2180,16,564
2602,97,2302
977,1491,1643
1163,1309,2138
1675,1367,2036
1252,888,2516
1088,687,3065
1090,786,1860
1305,923,2741
1303,697,2518
2193,1476,741
940,1360,2083
2033,408,1152
978,72,2264
952,1353,3037
2792,1428,1267
698,4,3427
2374,855,539
2201,497,1831
1817,79,3379
946,35,1721
992,999,1411
2089,1403,3103
2934,111,22
591,987,1334
371,107,2814
781,895,693
945,924,2267
2643,1440,1347
2680,29,2307
703,741,2658
132,608,1921
1462,903,1120
1573,1184,26
2071,477,196
2263,224,1802
496,941,795
1293,1170,950
2311,889,2248
2310,244,2689
2621,995,547
193,171,3484
1005,786,1048
2521,398,2410
272,1486,106
585,664,3154
2013,839,1754
1603,1323,2924
585,580,2360
1826,855,3290
1313,96,1082
66,1189,788
2389,221,1108
2135,624,856
1546,1181,723
498,119,1632
1813,1159,3311
1099,901,2136
0,1223,1660
181,1448,2302
1525,560,384
2882,413,2151
2447,943,1175
1466,386,3113
2187,1164,1961
2608,1043,1802
1222,1439,438
1227,1186,2104
1027,1469,2289
822,1447,910
46,18,1813
2529,339,155
2884,1283,551
2892,295,3482
1566,158,1903
1769,1230,2698
1589,1487,2400
2701,1379,1766
2103,1346,556
95,307,1426
2617,1059,1073
1860,923,1743
1819,294,3340
1284,272,2450
187,370,248
2543,296,2845
237,815,354
2709,1285,1311
1523,1441,1527
1166,423,1947
2376,1164,922
2330,57,1356
390,295,455
1553,1254,2563
292,131,347
2740,766,652
195,1360,1257
2346,357,3097
2520,116,341
1988,196,2813
1064,820,2771
637,641,1448
1785,992,902
609,909,3024
2339,1447,1964
2549,276,578
383,1034,2003
221,1009,3148
2799,107,2292
1013,1327,2825
2084,919,2638
917,651,1379
1491,1207,2469
1392,1020,1959
2382,258,116
83,367,2432
2131,757,1251
781,1383,625
1877,843,737
1652,160,2721
802,728,1976
2471,37,2044
130,513,2109
1192,192,1229
1391,802,3191
121,218,2322
1966,350,2840
1743,1456,289
1501,370,2500
1507,845,1203
2042,303,1644
2772,1207,2697
258,1321,650
448,436,2600
2528,178,1205
2916,1182,1327
773,1496,10
2847,654,2209
1958,395,2260
914,1479,2420
2111,1345,1250
1012,334,3025
1748,73,1621
360,1,1876
1504,1433,2691
639,643,2202
427,1387,2350
954,6,1979
1480,54,877
129,285,799
2517,1117,74
401,1260,3287
1360,967,2745
1422,800,3207
1113,689,333
1970,945,839
2890,1318,1843
1599,1303,3072
2874,181,1157
753,442,2622
42,153,1060
881,748,290
116,541,1578
2846,1318,1836
1182,1028,503
2865,853,2069
2537,831,2492
1291,332,996
1566,591,1596
844,1197,2428
2688,75,1173
995,794,1223
1692,783,1410
2467,506,1708
1007,376,597
2530,645,3252
814,1412,3392
1098,1264,1803
652,1390,798
138,117,895
2759,597,370
679,1402,3190
672,1011,1534
2548,1131,3115
187,1055,865
1473,9,3102
1840,445,606
2935,1260,1998
2020,525,2635
1368,676,2027
1386,1144,723
350,1455,1178
2934,256,1239
660,1272,949
512,384,1812
1293,55,3012
2811,1102,2189
452,559,2471
620,1266,1242
396,1336,2274
513,590,869
85,213,701
250,1412,479
1835,666,963
1884,649,2591
1297,890,1670
2007,22,1617
1597,406,1365
2822,942,1737
1101,1215,2906
1566,906,2582
701,1319,1915
1228,1215,886
1584,1123,2832
2543,413,2831
444,927,3386
1568,75,1412
65,79,1281
2911,315,2307
44,1004,1668
0,963,332
539,823,2433
1956,1123,3218
1075,1475,1228
1660,86,2248
1109,1359,167
2137,1035,2439
2472,1412,1448
151,1074,2853
2067,949,2886
1632,571,2895
51,728,3025
2734,1078,1103
1135,238,43
183,1278,970
2233,1105,2163
1763,178,303
1690,1025,220
907,1372,1402
1743,582,2911
278,239,2077
1330,1036,3135
1518,819,762
1984,914,2823
1853,1265,2044
2070,614,2702
2377,1011,660
1234,518,271
347,331,2985
1642,1479,3301
2521,222,683
821,1169,3472
2325,1341,870
839,9,2371
1772,605,1685
1995,1294,628
748,1146,630
2597,686,2206
72,32,2262
2607,97,2875
2307,1127,2572
829,99,2490
206,913,2299
2353,1305,1767
427,854,2755
438,1232,1507
913,1046,615
2306,1421,2510
2867,319,3042
1770,96,1696
1702,316,2810
1444,390,1694
2942,881,1808
1381,377,457
2375,1151,2016
1754,535,2329
1481,699,1938
387,330,1312
817,632,1691
945,1442,730
1673,958,2722
829,1251,1302
2199,103,929
2476,973,2924
66,921,3370
1619,1388,1225
2061,1131,2946
2804,130,1910
604,1109,1071
1856,725,70
881,320,1645
1747,874,2917
368,1375,2830
232,1266,3186
1360,281,140
2463,91,275
622,1092,2903
1111,446,1607
2132,140,1213
1032,253,1359
2358,1319,1144
2112,793,1037
2706,620,769
2912,616,1883
2474,557,2642
300,1401,2176
1384,380,459
816,729,2067
2242,363,2064
2102,228,474
344,1325,2446
1565,488,3368
2770,521,2467
2019,1459,1578
604,703,2612
331,551,1914
2370,1057,2771
879,44,1393
1163,1239,1193
1275,334,2384
105,1031,3065
36,504,200
890,85,3047
1907,1477,2926
599,1145,3128
1626,150,935
2467,557,1631
710,1378,2968
1280,1251,1169
2377,811,504
358,1246,3264
2497,416,594
1652,1229,2441
577,1286,2719
715,1150,1931
1998,1187,2299
412,530,3352
1160,41,752
2555,686,2717
1414,1057,2953
733,771,2222
717,823,2506
750,1087,965
2000,1020,119
1411,1110,1713
1627,723,376
1014,906,2221
1348,1260,3269
1356,391,1045
2571,1414,2372
2435,60,341
1974,843,3335
1061,518,3417
2520,62,2954
2670,123,107
576,1225,2935
1898,790,850
1296,128,528
2626,31,1022
1270,1030,98
733,146,1801
1329,623,926
224,702,3374
1554,840,596
2991,126,2379
2282,1364,3229
1124,169,2878
713,1178,1677
822,1059,1355
395,960,1810
780,955,1892
2409,227,863
1122,1446,1717
2018,1281,274
911,774,1417
185,1361,1939
2422,278,2505
1835,160,888
1404,764,1390
1853,136,1485
1051,1172,799
1582,1386,1314
1086,772,1034
2573,339,1568
610,1211,3171
2873,932,2676
278,131,571
2086,1044,3451
2545,52,1528
1508,692,1691
1711,812,2720
154,152,3104
1870,728,3470
2995,138,1881
1512,600,3198
2211,84,795
2948,427,3487
778,1116,1142
1451,1085,246
2106,1398,507
1069,954,2042
481,1219,3071
174,28,156
34,1069,2022
404,1318,195
2312,676,722
1295,1193,2362
1336,1434,3274
1619,183,1316
1614,1216,2240
922,1143,311
447,1107,2675
1888,1214,3071
2531,696,2852
258,4,3128
853,829,287
1432,837,3348
1947,1354,196
2687,999,2615
1925,628,75
2102,991,377
1271,396,2830
2429,912,3322
2310,907,2463
475,729,2678
1847,298,2030
1706,157,52
2222,1261,1120
1068,508,1436
2384,1169,1290
2009,306,2534
1160,1286,3147
653,898,2982
782,1178,1629
2396,736,2690
1222,302,149
1683,208,2575
2109,900,2741
1861,393,663
2637,776,3099
2435,633,1927
873,121,2865
92,467,967
2138,130,1293
378,1073,2689
2507,995,1319
1256,490,2226
2242,1132,2273
2993,103,2372
2582,29,2353
562,310,917
1019,209,2734
2951,354,2188
2829,808,3013
836,210,3165
2098,11,1652
2786,1239,434
874,701,1472
2693,1285,3454
2181,1425,1924
2306,1358,1681
1240,752,3068
896,83,3071
1049,1374,1337
2672,965,3264
1090,1073,86
2333,1240,3062
2985,193,3104
1283,1146,941
471,1024,1903
430,2,3373
2855,1244,1641
1563,753,1556
791,460,1562
220,1289,3104
913,262,1311
920,152,1643
318,235,3460
2441,730,365
1665,22,670
2849,451,3306
1211,888,2082
2053,1317,1067
2353,364,344
2815,650,671
2539,797,2816
2518,226,338
892,1383,2423
2870,654,2318
208,1372,1452
2098,1395,366
678,488,1902
2987,1208,2039
1909,537,2423
1369,1225,2357
1378,1076,2688
2642,217,1777
2622,461,110
1342,200,2521
1065,214,3327
90,1404,2118
1010,1312,1555
292,137,2931
2585,1275,2719
1443,354,3430
2474,317,3459
336,87,1685
43,38,515
2204,750,793
1537,954,219
144,1283,765
1892,441,441
2691,263,1689
529,729,643
1364,747,1225
2516,732,2980
2270,1469,2684
1678,230,1793
268,847,1764
1649,385,516
1490,423,1825
737,968,2312
440,547,2491
1712,1355,1349
2723,291,1535
2793,252,1512
1827,522,762
1761,298,2983
350,827,2300
249,1307,926
1078,474,3180
1916,554,1971
2359,874,2094
2681,1310,3208
568,1097,1398
854,79,2595
1632,820,2176
1718,859,1101
215,1490,2498
2842,664,2843
2283,1359,579
1270,1493,25
2940,1201,3342
1860,449,173
2053,105,3261
1309,181,1629
1312,43,1189
240,1427,375
2875,836,3448
2981,1441,3125
778,935,380
109,224,1039
292,1034,1133
1429,612,1361
911,723,3112
618,507,2837
2833,1276,3160
2670,459,1600
856,1058,1266
536,175,1800
1285,208,2379
1685,0,2267
2242,333,2328
15,1383,867
1027,94,416
631,729,359
568,1378,1625
1856,169,2907
1609,11,138
1028,151,3334
173,646,719
1467,1374,879
464,1269,2683
2653,436,3427
2684,1042,808
1279,415,657
1281,1046,2605
1094,1427,45
1142,164,618
1585,998,1765
1147,5,724
2380,12,677
2492,1363,683
2418,243,2119
2096,388,1386
404,57,2933
594,1493,884
1263,264,2975
1875,743,2089
1728,1467,925
1468,154,2043
1245,1097,2676
473,376,738
2647,788,2015
701,540,1264
2877,1420,2660
1190,972,2289
2586,888,3007
2924,1056,1515
2463,331,2552
2117,627,2632
2483,367,1677
2167,746,796
1649,1337,2941
2794,154,2745
2569,351,1515
1310,455,967
1211,419,2575
2825,1310,503
94,442,3040
1898,507,1346
2313,1185,1841
444,533,56
2203,1112,2427
286,553,2736
1386,453,2855
1548,437,992
171,1181,1518
1231,474,3138
595,1439,657
2170,1137,1398
467,1228,629
721,653,874
2124,1071,2871
1029,666,1924
2317,283,1304
2627,1027,1651
2734,1216,3305
489,455,466
1750,7,68
202,1352,1606
438,1401,436
1639,312,268
1795,964,441
268,1100,2903
532,1275,1409
1682,1180,3299
199,1447,2994
2062,48,2900
2040,1236,2483
1552,1147,2262
1262,611,3495
1590,429,873
1664,1485,30
873,358,2879
1593,1341,1677
1609,895,1334
1259,669,2273
438,1247,703
1234,1035,2310
1869,645,1507
2244,223,360
38,92,1344
2786,234,2629
563,710,1032
938,47,2421
173,965,246
687,243,536
2890,224,3006
1826,443,1240
2884,255,2948
2744,751,2797
1595,1445,2305
1098,1003,1123
1086,517,3490
1664,570,2727
966,804,906
1558,1198,2514
2318,877,150
667,897,996
1825,691,1874
928,832,3152
2663,1087,1521
1975,55,2926
2414,830,306
803,662,1941
1069,264,2422
2795,1130,2408
1513,8,2500
1328,437,1592
573,699,975
463,413,582
2058,1217,122
2602,1482,1824
1015,1372,2434
161,759,3369
2038,562,1113
631,37,2496
1914,787,3027
431,35,2200
220,1294,2015
2766,696,1401
31,1107,625
852,1376,2744
2764,1029,946
1254,1073,3250
1748,914,344
243,137,3261
660,962,948
1900,660,966
912,1124,2813
1947,610,2351
2642,997,2809
1851,42,6
2974,1419,1340
2938,251,1799
2531,540,1773
1604,112,2327
1228,1273,1660
2125,1109,2924
954,820,667
187,1260,3092
2097,801,2186
1941,1086,3237
224,978,1410
2431,535,1939
1761,1144,1843
290,948,2835
2133,1359,2364
624,1221,1566
2340,57,1602
2273,748,2502
2628,706,1092
417,1177,404
573,32,2683
456,183,3418
947,6,17
142,1460,1876
1350,264,2254
2579,188,1990
2497,456,238
1420,1044,2672
1473,412,1242
2162,1287,3469
2445,1174,2597
2165,44,1923
2857,32,2448
1014,1472,920
204,1341,1686
591,1316,1057
1127,1426,1123
606,655,3477
70,613,2999
951,1421,2715
2703,1347,2043
2768,1089,698
2857,1154,3240
2788,898,277
1771,1333,44
2710,1141,2042
1518,474,1999
1305,447,1314
596,951,2631
2985,203,1661
2564,57,1203
2775,1411,510
669,320,421
819,1361,3150
1131,1241,488
2930,73,688
2273,1455,1682
1164,481,1199
1638,770,2448
2069,762,1541
1455,1334,918
116,1305,1478
238,1289,1656
13,1484,1802
1361,410,634
390,568,2405
1144,1124,3186
1841,1210,368
399,1156,2590
2709,243,3401
1589,1070,2050
1307,518,3005
2583,1166,3369
456,368,2342
635,1251,1872
242,1004,1321
431,1359,2110
40,246,1500
1186,66,2227
415,524,1138
1104,899,184
2118,336,2647
2275,1251,1532
351,959,2439
2880,957,1067
1088,187,2746
2703,664,2593
1051,1357,2489
2,607,2024
1019,1080,1868
336,101,3456
801,719,3086
731,301,2404
647,405,400
2511,61,2027
85,271,1608
2424,882,1557
1772,972,2140
810,1480,2179
1551,698,2386
1887,1042,2205
910,74,1978
1243,770,2832
669,297,1602
2771,1328,3298
2094,696,2809
1939,861,1635
476,551,1385
1074,1159,422
1812,30,1724
412,403,447
1383,872,1363
939,40,251
1918,1174,1264
1431,585,2583
1024,910,683
844,679,3413
1829,1335,2935
2762,938,1042
432,931,2605
1598,290,1153
242,111,1572
1960,1441,1603
190,1172,3477
991,436,982
2625,398,3435
1178,1463,2174
488,1121,2993
2160,816,3287
2988,1223,1151
1627,851,928
987,327,2148
378,208,3411
2130,304,454
1575,827,1298
565,1023,250
2870,23,1808
523,807,3069
2794,895,179
1520,626,2624
1033,1243,1318
2219,948,3194
862,1370,3244
1553,1042,1768
2303,1078,1064
2115,846,2330
1683,143,3173
401,741,1351
1816,921,96
2839,1147,3089
2119,106,1778
454,30,49
2693,685,1366
1321,950,1545
981,1228,3258
454,924,47
165,343,2786
2255,191,898
1774,1208,695
546,415,666
1486,687,958
2119,876,2801
773,106,1985
636,1397,3361
24,1360,3435
1553,880,1560
2705,1049,156
2958,1278,1737
1349,425,2018
2475,1484,2378
1920,834,78
47,1237,1927
2995,788,508
880,235,884
629,1299,2284
55,1218,1681
2322,640,3473
2484,1277,172
1374,983,3195
2611,1035,883
593,560,264
1926,334,661
734,1184,930
2964,1078,3060
743,1288,1355
2794,1132,757
2351,1014,2964
1255,1383,2024
973,520,1518
36,750,126
1111,404,685
2173,282,2987
1585,1490,1400
786,816,2239
1162,329,633
2907,970,794
858,1410,1017
2475,1497,15
696,1111,2565
626,1337,2578
2820,1233,409
1502,660,31
2216,341,2666
5,604,3348
2471,468,3035
2037,319,3016
1018,449,1966
1658,173,2256
297,1450,1639
2337,705,2142
1664,1302,2673
141,381,3257
2863,397,45
2229,554,3045
699,262,2822
930,751,1385
2356,1357,1040
2458,84,2158
72,742,1139
1153,411,1777
1347,943,1049
693,100,2722
2649,36,1450
1758,1134,2981
1801,935,2082
2435,685,1846
263,666,1917
1496,143,797
1350,348,2218
99,647,1024
1722,932,339
2708,392,3053
206,280,2754
1900,212,1167
2708,55,1989
2878,649,3239
1317,323,1146
1034,299,3023
1085,686,661
15,780,303
2719,24,1926
276,135,609
595,1485,209
2618,1224,967
185,618,399
2758,1183,2765
265,455,1626
484,867,1024
37,1123,2421
1486,316,3356
367,1040,2139
136,188,319
439,818,970
2788,906,2293
2768,1274,1516
2231,613,832
2582,831,3237
2512,669,506
2011,270,673
1866,1436,3052
84,1254,2895
689,1163,3076
1260,439,1698
2121,1301,1131
2476,515,2948
917,478,1147
2435,1237,546
1648,637,403
2123,1058,1321
1267,987,1123
424,1375,3354
1524,190,2025
79,1197,3382
1699,1023,1704
2358,610,2336
925,1195,3087
823,306,512
464,114,3282
688,977,1396
548,1282,931
2842,151,647
772,185,1621
235,1165,2005
767,1040,27
921,398,1664
2508,877,1238
185,389,2487
2342,601,2407
2398,1292,84
1430,4,1128
2815,210,760
2502,1309,614
1926,1322,963
1881,160,2380
2754,871,141
1875,273,2927
132,275,820
2910,193,2089
10,442,1454
663,785,1539
1151,558,1297
311,163,1486
1133,920,936
527,1069,649
336,600,2099
230,617,2243
2383,557,2677
1382,1193,648
2523,992,957
123,899,361
2606,520,1823
963,323,2329
553,882,1109
965,1334,598
929,187,184
714,1340,3068
1798,676,3016
2435,1035,2554
238,102,1661
2471,171,1825
992,327,2068
858,273,385
242,412,2915
1479,135,862
244,1213,1857
1646,474,3342
930,1490,34
2460,1289,2659
743,1034,1540
1985,407,1587
74,1162,1790
962,1408,14
2510,867,751
2223,637,2909
2919,1195,1486
1164,336,3316
2164,1040,2934
1558,1440,1660
2229,1249,3499
247,348,508
769,264,1432
2700,555,778
31,1081,3162
1873,934,228
2752,638,837
270,524,2285
1108,833,2007
238,1452,1219
2746,820,9
2820,1234,969
1135,732,69
2886,1333,599
1872,846,2443
2847,412,2550
2497,61,1105
2587,919,1804
2769,658,3179
218,1354,1068
2317,113,2385
1592,262,2188
907,1052,248
1557,933,3252
777,623,540
1888,1122,1231
2358,547,2719
845,161,894
